image_name,eye,noCircles,TP,FN,FP,TPFN
PICTURES/Test_set_easy/001Easy.jpg,0,True,0,0,0,0
PICTURES/Test_set_easy/001Easy.jpg,1,False,85.10003847633705,14.899961523662947,0.6733358984224702,100.0
PICTURES/Test_set_easy/002Easy.jpg,0,False,91.89416483374305,8.105835166256954,8.539267693103895,100.0
PICTURES/Test_set_easy/002Easy.jpg,1,False,86.12288135593221,13.877118644067796,6.193918245264207,100.0
PICTURES/Test_set_easy/003Easy.jpg,0,False,88.24959187375295,11.750408126247052,0.11608924360602213,100.0
PICTURES/Test_set_easy/003Easy.jpg,1,False,72.730457801308,27.269542198691997,1.2885393958268452,100.0
PICTURES/Test_set_easy/004Easy.jpg,0,False,79.85838917688709,20.14161082311291,0.0,100.0
PICTURES/Test_set_easy/004Easy.jpg,1,False,60.463731437716326,39.536268562283674,0.0,100.0
PICTURES/Test_set_easy/005Easy.jpg,0,False,70.96130246257056,29.038697537429435,0.0,100.0
PICTURES/Test_set_easy/005Easy.jpg,1,False,78.23469560793623,21.76530439206376,0.0,100.0
PICTURES/Test_set_easy/006Easy.jpg,0,False,92.36924835667334,7.630751643326665,12.689339811374678,100.0
PICTURES/Test_set_easy/006Easy.jpg,1,False,94.26272259891215,5.737277401087847,28.619327918933013,100.0
PICTURES/Test_set_easy/007Easy.jpg,0,True,0,0,0,0
PICTURES/Test_set_easy/007Easy.jpg,1,True,0,0,0,0
PICTURES/Test_set_easy/008Easy.jpg,0,False,65.0,35.0,0.3978300180831827,100.0
PICTURES/Test_set_easy/008Easy.jpg,1,True,0,0,0,0
PICTURES/Test_set_easy/009Easy.jpg,0,False,67.67288033674083,32.32711966325917,0.2766085387853277,100.0
PICTURES/Test_set_easy/009Easy.jpg,1,False,70.31648504521215,29.68351495478785,0.2840250405750058,100.0
PICTURES/Test_set_easy/010easy.jpg,0,False,18.008255933952526,81.99174406604747,0.0,100.0
PICTURES/Test_set_easy/010easy.jpg,1,False,51.20253654009744,48.79746345990256,0.0,100.0
PICTURES/Test_set_easy/011Easy.jpg,0,True,0,0,0,0
PICTURES/Test_set_easy/011Easy.jpg,1,True,0,0,0,0
PICTURES/Test_set_easy/012Easy.jpg,0,False,68.17877367107106,31.821226328928944,0.0,100.0
PICTURES/Test_set_easy/012Easy.jpg,1,False,91.96913580246914,8.030864197530864,0.7283950617283951,100.0
PICTURES/Test_set_easy/013Easy.jpg,0,False,84.5304960050629,15.469503994937108,5.929119531682621,100.00000000000001
PICTURES/Test_set_easy/013Easy.jpg,1,False,93.38920304300069,6.610796956999308,6.505024205687319,100.0
PICTURES/Test_set_easy/014Easy.jpg,0,False,88.20638820638821,11.793611793611793,5.206063696629734,100.0
PICTURES/Test_set_easy/014Easy.jpg,1,False,80.29925187032418,19.70074812967581,15.053711874160753,100.0
PICTURES/Test_set_easy/015Easy.jpg,0,False,98.26762246117084,1.7323775388291516,4.749103942652329,100.0
PICTURES/Test_set_easy/015Easy.jpg,1,False,83.83827720890953,16.16172279109047,11.590837116013935,100.0
PICTURES/Test_set_easy/016Easy.jpg,0,False,75.4238965494491,24.576103450550903,16.325790063996834,100.0
PICTURES/Test_set_easy/016Easy.jpg,1,False,92.16003166331343,7.8399683366865665,0.7124245522609585,100.0
PICTURES/Test_set_easy/017Easy.jpg,0,False,96.12328767123289,3.8767123287671232,9.287671232876713,100.00000000000001
PICTURES/Test_set_easy/017Easy.jpg,1,False,95.50136914852003,4.498630851479985,6.272004172643109,100.00000000000001
PICTURES/Test_set_easy/018Easy.jpg,0,False,57.55214244281355,42.44785755718645,0.0,100.0
PICTURES/Test_set_easy/018Easy.jpg,1,False,72.99912206833532,27.000877931664668,0.6145521652661566,100.0
PICTURES/Test_set_easy/019Easy.jpg,0,True,0,0,0,0
PICTURES/Test_set_easy/019Easy.jpg,1,False,81.2954186413902,18.704581358609794,0.25850926324859974,100.0
PICTURES/Test_set_easy/020Easy.jpg,0,False,84.71406491499226,15.28593508500773,1.491499227202473,100.0
PICTURES/Test_set_easy/020Easy.jpg,1,True,0,0,0,0
