image_name,eye,noCircles,circles,TP,TN,FP,FN,TPFN,rTP,rTN,rFP,rFN,rHandAccum,rAutoAccum,imHeight,imWidth
PICTURES/Test_set_easy/001Easy.jpg,0,True,0,0,0,0,0,0,0,0,0,0,0,0,208,280
PICTURES/Test_set_easy/001Easy.jpg,1,False,1,96.0859599461857,1080.2356487134696,7.041018254641429,3.914040053814623,100.00000000000031,7458.482352941193,83851.15294117671,546.5450980392125,303.8196078431355,7762.301960784304,8005.02745098039,240,384
PICTURES/Test_set_easy/002Easy.jpg,0,False,1,96.60018994453114,605.2343461002731,10.125997701647648,3.399810055464128,99.99999999999527,13067.270588235026,81871.07058823644,1369.760784313725,459.8980392156797,13527.168627451345,14437.031372549025,224,432
PICTURES/Test_set_easy/002Easy.jpg,1,False,1,92.10245666670417,501.15466352846465,8.550441630995145,7.897543333289692,99.99999999999386,12568.247058823394,68387.2705882368,1166.7882352941083,1077.6941176470398,13645.941176471271,13735.035294117652,208,400
PICTURES/Test_set_easy/003Easy.jpg,0,False,1,88.83088295398335,1038.004698480724,0.13251891380071507,11.169117046016279,99.99999999999963,22927.780392156863,267915.2,34.20392156862732,2882.815686274497,25810.596078431456,22961.984313725497,432,680
PICTURES/Test_set_easy/003Easy.jpg,1,False,1,72.55394959019512,711.222534843533,1.3590553836101806,27.446050409804013,99.99999999999913,17349.054901960775,170067.08627451002,324.97647058823577,6562.882352941143,23911.937254902125,17674.031372549034,352,552
PICTURES/Test_set_easy/004Easy.jpg,0,False,1,97.55156290385432,716.1582589457995,13.103329156115615,2.448437096135919,99.99999999999024,15614.619607842007,114632.0823529445,2097.388235294042,391.909803921564,16006.529411765134,17712.007843137275,272,488
PICTURES/Test_set_easy/004Easy.jpg,1,False,1,87.43321855413329,623.4382677645197,3.852723782700024,12.566781445856916,99.99999999999021,14472.282352939828,103193.8980392173,637.7176470588164,2080.1019607842063,16552.384313725655,15110.000000000005,264,456
PICTURES/Test_set_easy/005Easy.jpg,0,False,1,90.99846692137979,583.5073620392676,1.1491087485511249,9.001533078616694,99.99999999999648,41025.94509803847,263069.71764707693,518.0666666666446,4058.2705882349405,45084.215686275,41544.011764705894,424,728
PICTURES/Test_set_easy/005Easy.jpg,1,False,1,95.51852982000709,596.8243820999811,6.374929789730207,4.481470179989092,99.99999999999618,41467.47058823466,259099.4392157035,2767.5490196073742,1945.5411764704922,43413.01176470681,44235.019607843155,424,720
PICTURES/Test_set_easy/006Easy.jpg,0,False,1,91.58218014175968,769.3384806588875,13.040940543638602,8.417819858240012,99.99999999999969,11943.325490196079,100330.21568627474,1700.6823529411754,1097.776470588233,13041.101960784354,13644.00784313726,248,464
PICTURES/Test_set_easy/006Easy.jpg,1,False,1,92.90372117034417,740.8424382007906,29.13481729579821,7.09627882965563,99.9999999999998,11686.952941176447,93195.30588235302,3665.0549019607793,892.6862745098027,12579.639215686275,15352.00784313726,240,456
PICTURES/Test_set_easy/007Easy.jpg,0,True,0,0,0,0,0,0,0,0,0,0,0,0,224,344
PICTURES/Test_set_easy/007Easy.jpg,1,True,0,0,0,0,0,0,0,0,0,0,0,0,184,272
PICTURES/Test_set_easy/008Easy.jpg,0,False,1,81.77002397425666,812.818625751611,23.54750293078754,18.22997602574365,100.00000000000031,5041.211764705894,50111.16078431293,1451.7294117646954,1123.8980392156689,6165.109803921544,6492.941176470582,176,328
PICTURES/Test_set_easy/008Easy.jpg,1,True,0,0,0,0,0,0,0,0,0,0,0,0,152,296
PICTURES/Test_set_easy/009Easy.jpg,0,False,1,88.96023407777152,814.6919839955488,7.528672619885827,11.039765922219738,99.99999999999126,9507.399999999623,87068.14509803956,804.6078431372395,1179.8470588234884,10687.247058824047,10312.007843137264,224,440
PICTURES/Test_set_easy/009Easy.jpg,1,False,1,88.88022665741732,740.7084908270855,11.514426483500108,11.119773342573653,99.99999999999098,9911.933333332932,82603.89803921612,1284.0901960784065,1240.0784313725048,11152.011764706444,11196.023529411772,216,440
PICTURES/Test_set_easy/010easy.jpg,0,False,1,16.555717667358376,457.7345851391639,0.00011949272946487429,83.44428233264219,100.00000000000057,1629.9999999999986,45066.447058823585,0.0117647058823529,8215.541176470728,9845.541176470671,1630.011764705881,208,264
PICTURES/Test_set_easy/010easy.jpg,1,False,1,54.48106646833486,471.1866155525974,0.007583256315886302,45.51893353166411,99.99999999999898,5860.207843137255,50682.77254901952,0.8156862745098035,4896.203921568613,10756.41176470598,5861.023529411764,192,320
PICTURES/Test_set_easy/011Easy.jpg,0,True,0,0,0,0,0,0,0,0,0,0,0,0,184,352
PICTURES/Test_set_easy/011Easy.jpg,1,True,0,0,0,0,0,0,0,0,0,0,0,0,176,352
PICTURES/Test_set_easy/012Easy.jpg,0,False,1,71.95667227739855,653.7121966225013,0.0008247034984746979,28.04332772259976,99.99999999999831,10264.890196078433,93254.505882353,0.11764705882352908,4000.4862745097453,14265.376470588419,10265.00784313726,240,448
PICTURES/Test_set_easy/012Easy.jpg,1,False,1,96.03822076857895,718.873889133996,4.0178290054203645,3.9617792314202758,99.99999999999923,13385.03137254896,100190.83529411782,559.9725490196055,552.1607843137258,13937.192156862793,13945.003921568632,256,448
PICTURES/Test_set_easy/013Easy.jpg,0,False,1,89.01705585846524,608.1339857017254,11.247824302973717,10.982944141534064,99.9999999999993,19125.415686274504,130658.27843137275,2416.6078431372425,2359.6980392156706,21485.113725490322,21542.023529411763,280,552
