image_name,eye,noCircles,circles,TP,TN,FP,FN,TPFN,rTP,rTN,rFP,rFN,rHandAccum,rAutoAccum,imHeight,imWidth
PICTURES/Test_set_easy/001Easy.jpg,0,False,1,61.1299812497088,677.247011132366,0.3690890898019038,38.87001875029111,99.99999999999991,4578.364705882355,50722.800000000156,27.64313725490189,2911.1921568627326,7489.556862745095,4606.00784313725,208,280
PICTURES/Test_set_easy/001Easy.jpg,1,False,1,97.86843098393621,1079.673707061839,7.602959906274008,2.13156901606405,100.00000000000026,7596.843137254914,83807.53333333372,590.1647058823519,165.45882352941044,7762.301960784304,8187.007843137254,240,384
PICTURES/Test_set_easy/002Easy.jpg,0,False,1,97.18301121228907,607.281033261159,8.07931054076189,2.8169887877061215,99.9999999999952,13146.10980392129,82147.92941176587,1092.901960784312,381.05882352940444,13527.168627451345,14239.011764705887,224,432
PICTURES/Test_set_easy/002Easy.jpg,1,False,1,93.9159097799618,499.54588234954633,10.159222809913446,6.084090220031962,99.99999999999376,12815.709803921416,68167.73725490348,1386.3215686274407,830.2313725490031,13645.941176471271,14202.031372549025,208,400
PICTURES/Test_set_easy/003Easy.jpg,0,False,1,88.54437651537528,1037.9699202425115,0.1672971520132626,11.45562348462439,99.99999999999966,22853.831372549033,267906.22352941177,43.180392156862666,2956.764705882336,25810.596078431456,22897.0117647059,432,680
PICTURES/Test_set_easy/003Easy.jpg,1,False,1,83.59528032925991,697.9789731734575,14.602617053685755,16.404719670739425,99.99999999999933,19989.250980392168,166900.29411764728,3491.768627450975,3922.6862745097974,23911.937254902125,23481.01960784314,352,552
PICTURES/Test_set_easy/004Easy.jpg,0,False,1,97.9460097778631,714.8283849850498,14.433203116864334,2.05399022212741,99.99999999999051,15677.75686274401,114419.21568627769,2310.2549019606918,328.77254901960384,16006.529411765134,17988.011764705905,272,488
PICTURES/Test_set_easy/004Easy.jpg,1,False,1,83.0410073022988,624.8880440896193,2.40294745760217,16.95899269769202,99.99999999999082,13745.266666665482,103433.87058823719,397.74509803921103,2807.117647058653,16552.384313725655,14143.011764705889,264,456
PICTURES/Test_set_easy/005Easy.jpg,0,False,1,93.87280883922823,582.289336514052,2.3671342737663825,6.127191160768289,99.99999999999652,42321.81960784228,262520.58039217483,1067.2039215685752,2762.396078431152,45084.215686275,43389.02352941178,424,728
PICTURES/Test_set_easy/005Easy.jpg,1,False,1,98.10784116589635,593.9268501591622,9.27246173054734,1.892158834100213,99.99999999999656,42591.568627450455,257841.53333334968,4025.454901960453,821.4431372548646,43413.01176470681,46617.02352941178,424,720
PICTURES/Test_set_easy/006Easy.jpg,0,False,1,97.92649544532034,765.8600064171159,16.519414785409822,2.073504554679453,99.9999999999998,12770.694117647072,99876.58431372567,2154.313725490181,270.40784313725504,13041.101960784354,14925.00784313726,248,464
PICTURES/Test_set_easy/006Easy.jpg,1,False,1,95.93585401620027,742.0542002513872,27.923055245201667,4.064145983799536,99.9999999999998,12068.384313725464,93347.74117647066,3512.619607843132,511.25490196078516,12579.639215686275,15581.003921568634,240,456
PICTURES/Test_set_easy/007Easy.jpg,0,False,1,86.1194703942568,676.0996350031756,10.640682331046706,13.880529605742332,99.99999999999912,8434.831372548979,66219.47843137238,1042.1843137254807,1359.505882352921,9794.337254901986,9477.015686274515,224,344
PICTURES/Test_set_easy/007Easy.jpg,1,False,1,64.95380371717346,541.8854647079182,10.508082432530363,35.04619628282693,100.00000000000038,4982.894117647101,41570.43529411724,806.1215686274348,2688.5490196077963,7671.443137254867,5789.015686274508,184,272
PICTURES/Test_set_easy/008Easy.jpg,0,False,1,41.814054168206454,776.7380381565303,59.62809052587572,58.18594583179362,100.00000000000007,2577.882352941161,47886.752941176106,3676.1372549019775,3587.2274509803874,6165.109803921544,6254.019607843134,176,328
PICTURES/Test_set_easy/008Easy.jpg,1,True,0,0,0,0,0,0,0,0,0,0,0,0,152,296
PICTURES/Test_set_easy/009Easy.jpg,0,False,1,88.58658001032616,813.9067343595526,8.313922255882265,11.413419989666105,99.99999999999227,9467.466666666394,86984.22352941213,888.5294117646952,1219.7803921568266,10687.247058824047,10355.996078431379,224,440
PICTURES/Test_set_easy/009Easy.jpg,1,False,1,73.98250135471596,736.4815211393833,15.741396171198948,26.017498645279158,99.99999999999513,8250.537254902029,82132.505882353,1755.4823529411563,2901.474509803871,11152.011764706444,10006.019607843149,216,440
PICTURES/Test_set_easy/010easy.jpg,0,False,1,23.32271042968368,457.72725625175684,0.007448380136643846,76.67728957031498,99.99999999999866,2296.247058823527,45065.72549019614,0.7333333333333323,7549.294117647014,9845.541176470671,2296.98039215686,208,264
PICTURES/Test_set_easy/010easy.jpg,1,False,1,55.483915658147744,471.1855947296319,0.00860407928148638,44.51608434185113,99.99999999999888,5968.078431372547,50682.66274509796,0.9254901960784306,4788.333333333311,10756.41176470598,5969.003921568625,192,320
PICTURES/Test_set_easy/011Easy.jpg,0,False,1,72.97449669050886,788.1286527056915,0.34708773379468216,27.02550330949097,99.99999999999983,5319.686274509807,57452.909803921495,25.30196078431369,1970.1019607842936,7289.788235294113,5344.988235294116,184,352
PICTURES/Test_set_easy/011Easy.jpg,1,False,1,68.6712709919157,840.1928110933505,2.6609554253410663,31.328729008084377,100.00000000000009,4512.1764705882415,55206.46666666637,174.84313725490196,2058.5137254901724,6570.690196078408,4687.019607843133,176,352
PICTURES/Test_set_easy/012Easy.jpg,0,False,1,82.46490680438036,652.0791187548219,1.6339025711780746,17.53509319561834,99.9999999999987,11763.929411764744,93021.54117647068,233.08235294117623,2501.44705882349,14265.376470588419,11997.011764705887,240,448
PICTURES/Test_set_easy/012Easy.jpg,1,False,1,94.42704300300667,718.2886867245318,4.603031414885345,5.572956996992651,99.99999999999932,13160.478431372503,100109.2745098042,641.5333333333308,776.713725490196,13937.192156862793,13802.011764705887,256,448
PICTURES/Test_set_easy/013Easy.jpg,0,False,1,88.56974204118283,605.3967142594304,13.985095745270746,11.430257958816295,99.99999999999913,19029.309803921544,130070.1725490203,3004.713725490128,2455.80392156859,21485.113725490322,22034.02352941178,280,552
PICTURES/Test_set_easy/013Easy.jpg,1,False,1,96.72129684927036,658.3902432586838,6.0419781215328445,3.278703150728959,99.99999999999932,20406.270588235213,138907.25098039315,1274.7372549019583,691.74117647058,21098.011764705938,21681.007843137275,288,560
PICTURES/Test_set_easy/014Easy.jpg,0,False,1,95.99306412425899,655.8534373811586,8.775173998893845,4.00693587574042,99.99999999999942,18134.301960784313,123898.99607843242,1657.7411764705719,756.9607843137221,18891.262745098145,19792.043137254914,296,488
PICTURES/Test_set_easy/014Easy.jpg,1,False,1,93.69830605917446,730.5746479993188,22.388358062740885,6.301693940824046,99.99999999999851,16451.192156862475,128271.51764705929,3930.8627450979207,1106.4274509803847,17557.619607843124,20382.054901960793,288,520
PICTURES/Test_set_easy/015Easy.jpg,0,False,1,99.429307323905,836.3286135583694,12.433212639158512,0.5706926760948031,99.9999999999998,8196.121568627497,68939.94509803926,1024.8901960784262,47.04313725490267,8243.164705882416,9221.011764705889,208,376
PICTURES/Test_set_easy/015Easy.jpg,1,False,1,91.64434479096587,691.5625772727686,18.7515577697367,8.355655209034243,100.00000000000011,7296.133333333325,55057.76470588232,1492.878431372541,665.2235294117644,7961.35686274508,8789.01176470589,192,336
PICTURES/Test_set_easy/016Easy.jpg,0,False,1,96.21272561692635,690.2763848992743,7.983191498801492,3.787274383073516,99.99999999999986,24067.054901960237,172668.6313725512,1996.949019607825,947.3647058823418,25014.41960784261,26064.003921568645,320,624
PICTURES/Test_set_easy/016Easy.jpg,1,False,1,93.63536163236849,734.5287611821013,1.3462973632032165,6.36463836763136,99.99999999999984,25895.61568627453,203139.86274509877,372.3294117647057,1760.192156862719,27655.807843137292,26267.945098039243,344,672
PICTURES/Test_set_easy/017Easy.jpg,0,False,1,98.7949674694854,767.7325423742956,9.559745953873827,1.2050325305146836,100.00000000000009,6500.952941176469,50518.69803921563,629.0549019607831,79.29411764705912,6580.247058823522,7130.007843137251,176,328
PICTURES/Test_set_easy/017Easy.jpg,1,False,1,97.08623018411893,806.0670789791722,7.212511551858965,2.913769815881145,100.00000000000007,6694.666666666665,55583.06666666669,497.34509803921554,200.92156862745114,6895.588235294112,7192.0117647058805,192,328
PICTURES/Test_set_easy/018Easy.jpg,0,False,1,73.47115726980945,599.3031988730445,10.54106476201862,26.52884273019147,100.00000000000092,26331.215686274376,214783.35686274467,3777.796078431345,9507.631372549024,35838.84705882307,30109.011764705905,424,600
PICTURES/Test_set_easy/018Easy.jpg,1,False,1,73.51492608154317,648.810650598547,0.47302098434445755,26.485073918458706,100.00000000000188,37537.482352941195,331289.4352941179,241.5294117647058,13523.552941177328,51061.035294117566,37779.011764705865,488,784
PICTURES/Test_set_easy/019Easy.jpg,0,False,1,62.15771376462318,624.0119430797379,3.026995393638103,37.84228623537895,100.00000000000213,17235.658823529404,173031.7333333345,839.3529411764671,10493.25490196122,27728.913725490034,18075.011764705905,336,600
PICTURES/Test_set_easy/019Easy.jpg,1,False,1,65.1578131095897,532.585118623963,4.3211671872824535,34.842186890409856,99.99999999999955,20689.882352941313,169114.38431372604,1372.121568627448,11063.611764706042,31753.4941176475,22062.003921568645,320,632
PICTURES/Test_set_easy/020Easy.jpg,0,False,1,96.90262479379972,607.2472861305455,9.091709586254217,3.0973752061998208,99.99999999999953,22700.19607843138,142252.4156862747,2129.8039215685967,725.5843137254894,23425.78039215698,24830.000000000015,304,552
PICTURES/Test_set_easy/020Easy.jpg,1,False,1,92.34047169010286,626.8375448345793,10.102776565719013,7.659528309897391,100.00000000000026,22133.435294117644,150249.0509803922,2421.5725490195487,1835.941176470585,23969.37647058817,24555.007843137268,320,552
