image_name,eye,noCircles,TP,FN,FP
PICTURES/five/001Easy.jpg,0,False,88.85627412182305,11.143725878177037,11.60360805660375
PICTURES/five/001Easy.jpg,1,False,97.96755258067364,2.0324474193273048,52.374447240483576
PICTURES/five/002Easy.jpg,0,False,98.88908367803234,1.1109163219622717,24.723321332067002
PICTURES/five/002Easy.jpg,1,False,96.47984164028543,3.5201583597076826,19.402167962333287
PICTURES/five/003Easy.jpg,0,False,60.35110675019888,39.6488932498006,41.820109752766385
PICTURES/five/003Easy.jpg,1,False,75.46472809380256,24.53527190619674,32.76991523144381
PICTURES/five/004Easy.jpg,0,False,97.21248559104113,2.787514408948198,51.2831650809137
PICTURES/five/004Easy.jpg,1,False,94.62123577717024,5.378764222818924,26.69663371759816
PICTURES/five/005Easy.jpg,0,False,94.60001435222237,5.399985647774233,10.725096170781006
PICTURES/five/005Easy.jpg,1,False,96.84040693320243,3.15959306679334,16.206345653302222
