image_name,eye,noCircles,TP,FN,FP
PICTURES/five/001Easy.jpg,0,False,85.42441056488077,14.57558943511934,10.869671076641598
PICTURES/five/001Easy.jpg,1,False,93.515770286458,6.484229713542608,46.93225730996479
PICTURES/five/002Easy.jpg,0,False,98.88908367803234,1.1109163219622717,24.723321332067002
PICTURES/five/002Easy.jpg,1,False,95.31763473176296,4.68236526823034,20.564374870856067
PICTURES/five/003Easy.jpg,0,False,64.16075963329818,35.83924036670147,17.56923968906512
PICTURES/five/003Easy.jpg,1,False,75.02678127455866,24.97321872544067,28.164356009566973
PICTURES/five/004Easy.jpg,0,False,94.7408471787755,5.259152821213642,47.08252637097545
PICTURES/five/004Easy.jpg,1,False,95.48039758739944,4.519602412589836,28.930681866102177
PICTURES/five/005Easy.jpg,0,False,94.7926560097741,5.20734399022267,8.820103553479553
PICTURES/five/005Easy.jpg,1,False,93.07745269828358,6.922547301711897,11.09638404244425
