image_name,eye,noCircles,circles,TP,TN,FP,FN,TPFN,rTP,rTN,rFP,rFN,rHandAccum,rAutoAccum,imHeight,imWidth
PICTURES/Test_set_hard/21Hard.jpg,0,False,1,83.37831173230036,595.5845959832766,3.9512401791338845,16.62168826769898,99.99999999999935,5927.1254901960765,42338.40392156879,280.88235294117567,1181.5882352941185,7108.713725490242,6208.007843137249,168,296
PICTURES/Test_set_hard/21Hard.jpg,1,False,1,83.03553495765527,688.3394643710612,2.19600345844227,16.964465042344283,99.99999999999956,6063.580392156859,50265.24705882354,160.3607843137234,1238.8117647058743,7302.392156862765,6223.941176470582,176,328
PICTURES/Test_set_hard/22Hard.jpg,0,False,1,84.20699584437679,654.3433170089684,2.176430381495668,15.79300415562321,100.0,3633.105882352946,28231.60392156864,93.9019607843142,681.3882352941202,4314.494117647067,3727.007843137251,136,240
PICTURES/Test_set_hard/22Hard.jpg,1,False,1,50.00827855510174,652.1678704617565,3.4900381386941057,49.99172144489776,99.9999999999995,2736.0823529411805,35681.79215686285,190.94901960784364,2735.176470588224,5471.258823529432,2927.031372549016,152,272
PICTURES/Test_set_hard/23Hard.jpg,0,False,1,94.76849484181359,834.0443662497144,33.29552029773717,5.231505158186394,99.99999999999999,5530.105882352951,48669.6941176471,1942.9215686274451,305.27843137254933,5835.384313725502,7473.02745098039,168,336
PICTURES/Test_set_hard/23Hard.jpg,1,False,1,88.8349524362581,623.0609288269856,8.319163238815925,11.165047563741867,99.99999999999997,5177.200000000006,36311.28235294124,484.83137254901925,650.6862745098044,5827.886274509812,5662.031372549017,144,296
PICTURES/Test_set_hard/24Hard.jpg,0,False,1,47.46042281432678,595.123042646839,0.3968175673062728,52.53957718567306,99.99999999999984,2358.282352941176,29571.337254901944,19.71764705882351,2610.6627450980313,4968.945098039216,2377.999999999998,144,240
PICTURES/Test_set_hard/24Hard.jpg,1,False,1,58.205292715189806,480.7525604163198,12.589169023120963,41.7947072848101,99.99999999999991,2881.7098039215684,23801.776470588222,623.282352941176,2069.231372549016,4950.941176470589,3504.992156862744,136,216
PICTURES/Test_set_hard/25Hard.jpg,0,True,0,0,0,0,0,0,0,0,0,0,0,0,176,392
PICTURES/Test_set_hard/25Hard.jpg,1,False,1,48.39633904252201,880.7746379819141,104.79113155292734,51.60366095747801,100.00000000000003,2739.098039215688,49849.39215686278,5930.8862745097995,2920.6235294117682,5659.721568627455,8669.984313725501,160,384
PICTURES/Test_set_hard/26Hard.jpg,0,False,1,65.08789859640962,824.2202608089694,53.77754919202297,34.91210140359022,99.99999999999983,3846.184313725489,48704.952941176365,3177.831372549016,2063.031372549019,5909.215686274518,7024.015686274503,168,344
PICTURES/Test_set_hard/26Hard.jpg,1,False,1,39.69027947804854,809.7438589141216,26.15595622208822,60.309720521951526,100.00000000000006,1954.1921568627456,39868.580392156815,1287.8156862745088,2969.411764705884,4923.603921568626,3242.0078431372526,160,288
PICTURES/Test_set_hard/27Hard.jpg,0,True,0,0,0,0,0,0,0,0,0,0,0,0,176,400
PICTURES/Test_set_hard/27Hard.jpg,1,True,0,0,0,0,0,0,0,0,0,0,0,0,208,448
PICTURES/Test_set_hard/28Hard.jpg,0,True,0,0,0,0,0,0,0,0,0,0,0,0,88,168
PICTURES/Test_set_hard/28Hard.jpg,1,True,0,0,0,0,0,0,0,0,0,0,0,0,88,176
PICTURES/Test_set_hard/29Hard.jpg,0,True,0,0,0,0,0,0,0,0,0,0,0,0,96,184
PICTURES/Test_set_hard/29Hard.jpg,1,True,0,0,0,0,0,0,0,0,0,0,0,0,128,272
PICTURES/Test_set_hard/30Hard.jpg,0,False,1,31.01935343260597,791.7904895122387,0.34496218546317503,68.98064656739388,99.99999999999984,1361.8627450980387,34762.490196078434,15.145098039215661,3028.5019607843074,4390.364705882353,1377.0078431372535,144,272
PICTURES/Test_set_hard/30Hard.jpg,1,False,1,0.0,841.6471757951829,0.0,100.0,100.0,0.0,33063.56470588238,0.0,3928.435294117649,3928.435294117649,0.0,136,272
PICTURES/Test_set_hard/31Hard.jpg,0,True,0,0,0,0,0,0,0,0,0,0,0,0,152,264
PICTURES/Test_set_hard/31Hard.jpg,1,False,1,85.52200769093248,769.6268862015122,34.76027024477314,14.47799230906755,100.00000000000003,5083.7333333333345,45749.36862745099,2066.274509803914,860.6235294117641,5944.356862745097,7150.007843137252,168,320
PICTURES/Test_set_hard/32Hard.jpg,0,False,1,7.946071202864966,597.480514008848,0.6899904393057958,92.05392879713503,100.0,192.29803921568626,14459.262745098047,16.698039215686265,2227.7411764705885,2420.039215686275,208.99607843137255,96,176
PICTURES/Test_set_hard/32Hard.jpg,1,True,0,0,0,0,0,0,0,0,0,0,0,0,96,168
PICTURES/Test_set_hard/33Hard.jpg,0,False,1,70.64843527286709,556.1649215800305,0.04574861540414994,29.351564727132818,99.99999999999991,4451.145098039213,35040.70196078457,2.8823529411764603,1849.2705882352925,6300.415686274511,4454.027450980388,152,272
PICTURES/Test_set_hard/33Hard.jpg,1,False,1,90.2121401270619,741.3199467375998,2.296766089294594,9.787859872938245,100.00000000000014,4551.152941176472,37399.18431372542,115.87058823529445,493.79215686274483,5044.945098039209,4667.023529411761,152,280
PICTURES/Test_set_hard/34Hard.jpg,0,True,0,0,0,0,0,0,0,0,0,0,0,0,176,264
PICTURES/Test_set_hard/34Hard.jpg,1,False,1,97.82959353850997,1416.9779227212186,51.975348325079175,2.1704064614900687,100.00000000000004,3926.768627450981,56875.882352941124,2086.231372549014,87.11764705882376,4013.886274509803,6012.999999999995,192,328
